File,Wire,Cable,From,From pin,From signal,From terminal,To,To pin,To signal,To terminal,Colour,AWG,Route,Est mm,Splice,Done
B-ECU,w_fb_in,,Battery/Ignition +12V Source,,,,High-current fuse block HCFB (glove box),IN,Battery feed in from PDB stud (M8),GENERIC LUG M8 4AWG,Red,4,bn_bp_930__batt_ring > bn_bp_930__bp_960 > bn_bp_960__ecu_a > bn_ecu_a__bp_1020 > bn_bp_1020__bp_1050 > bn_bp_1050__bp_1065 > bn_bp_1065__hcfb,710,,
B-ECU,w_fb_k_efi_30,,Cabin fuse block (passenger glove box),F1,30A - EFI main relay 30,1-1355880-1,EFI Main Relay,30,Fused +12V in (F1 30A),280756-4,Red,12,bn_bp_1050__fusebox > bn_bp_1050__bp_1065 > bn_bp_1065__bp_1080 > bn_bp_1080__bp_1110 > bn_bp_1110__k_efi,470,,
B-ECU,w_fb_k_etb_30,,Cabin fuse block (passenger glove box),F3,10A - ETB power relay 30,1-1355877-1,ETB Power Relay,30,Fused +12V in (F3 10A),160927-4,Red,16,bn_bp_1050__fusebox > bn_bp_1050__bp_1065 > bn_bp_1065__bp_1080 > bn_bp_1080__bp_1110 > bn_bp_1110__bp_1140 > bn_bp_1140__k_etb,530,,
B-ECU,w_fb_k_fan2_30,,High-current fuse block HCFB (glove box),H3,30A AMI - condenser fan relay 30,GENERIC RING M5 10-8,"Condenser Fan Relay (on/off, diode)",30,Fused +12V in (HCFB H3 30A),280755-4,Red,8,bn_bp_1065__hcfb > bn_bp_1065__bp_1080 > bn_bp_1080__bp_1110 > bn_bp_1110__bp_1140 > bn_bp_1140__bp_1170 > bn_bp_1170__bp_1200 > bn_bp_1200__bp_1230 > bn_bp_1230__bp_1260 > bn_bp_1260__k_fan2,760,,
B-ECU,w_fb_k_fan_30,,High-current fuse block HCFB (glove box),H2,40A AMI - radiator fan relay 30,GENERIC RING M5 10-8,Radiator Fan Relay (on/off),30,Fused +12V in (HCFB H2 40A),280755-4,Red,8,bn_bp_1065__hcfb > bn_bp_1065__bp_1080 > bn_bp_1080__bp_1110 > bn_bp_1110__bp_1140 > bn_bp_1140__bp_1170 > bn_bp_1170__bp_1200 > bn_bp_1200__bp_1230 > bn_bp_1230__k_fan,710,,
B-ECU,w_fb_k_fp_30,,Cabin fuse block (passenger glove box),F2,25A - fuel pump relay 30,1-1355880-1,Fuel Pump Relay,30,Fused +12V in (F2 25A),280756-4,Red,12,bn_bp_1050__fusebox > bn_bp_1050__bp_1065 > bn_bp_1065__bp_1080 > bn_bp_1080__bp_1110 > bn_bp_1110__bp_1140 > bn_bp_1140__bp_1170 > bn_bp_1170__k_fp,580,,
B-ECU,w_fb_k_str_30,,Cabin fuse block (passenger glove box),F4,30A - start relay 30,1-1355880-1,Start Relay,30,Fused +12V in (F4 30A),280756-4,Red,12,bn_bp_1050__fusebox > bn_bp_1050__bp_1065 > bn_bp_1065__bp_1080 > bn_bp_1080__bp_1110 > bn_bp_1110__bp_1140 > bn_bp_1140__bp_1170 > bn_bp_1170__bp_1200 > bn_bp_1200__k_str,640,,
B-ECU,w_fb_mrs_en,,Cabin fuse block (passenger glove box),F13,7.5A - MRS EPS pump logic enable *,1-1355833-1,Bulkhead B - firewall (HDP24-24-21PN),14,MRS EPS pump logic enable *,0460-202-1631,Red,20,bn_bp_1050__fusebox > bn_bp_1020__bp_1050 > bn_ecu_a__bp_1020 > bn_bp_960__ecu_a > bn_bp_930__bp_960 > bn_bp_900__bp_930 > bn_bp_870__bp_900 > bn_bp_870__bh_b_fw,610,,
B-ECU,w_fb_sw12,,Cabin fuse block (passenger glove box),F9,"10A - SW bus: switched 12V sensor rail, ECU +14V, relay coils",1-1355877-1,sp_sw12,,,,Red,18,,,sp_sw12,
B-ECU,w_fpg,,Fuel Pump,c2,GND,(generic),Trunk chassis ground stud - fuel pump return (plan 6.41; M6 assumed),,,,Black,12,bn_bp_2100__fuelpump > bn_bp_2100__bp_2130 > bn_bp_2130__bp_2190 > bn_bp_2190__t_trunk_fp_gnd,770,,
