item,role,mfr,pn,qty_per_box,qty_car,buy_url,cad_url,stock_note,buy_vs_print,notes
box,Diecast Al enclosure,Hammond,1590Y,1,2,https://www.digikey.com/en/products/detail/hammond-manufacturing/1590Y/2441463,https://www.hammfg.com/part/1590Y,Check DigiKey live; Hammong page has drawings,buy,"92x92x42 mm ext; max PCB ~84x84; meets 6.35 internal >=50x50x30; natural unpainted so shield plate bonds"
in_l,M8 female panel IN-L,binder,86 6618 1121 00004,1,2,https://www.binder-usa.com/us-en/products/automation-technology/m8/86-6618-1121-00004-m8-female-panel-mount-connector-4-shieldable-tht-ip67-m10x075-front-fastened,,Factory lead time common; verify distributor stock,buy,"4-way shieldable THT; VR+ VR- spare; M10x0.75; alt PN 09 3420 82 04"
in_r,M8 female panel IN-R,binder,86 6618 1121 00004,1,2,https://www.binder-usa.com/us-en/products/automation-technology/m8/86-6618-1121-00004-m8-female-panel-mount-connector-4-shieldable-tht-ip67-m10x075-front-fastened,,Same as IN-L,buy,Same PN as IN-L
out,M8 male panel OUT,binder,86 6319 1121 00004,1,2,https://www.binder-connector.com/en/products/automation-technology/m8/86-6319-1121-00004-m8-male-panel-mount-connector-contacts-4-shieldable-tht-ip67-m10x075-front-fastened,,Verify distributor stock,buy,"5V GND OUT-L OUT-R; male so sensors cannot plug into output"
standoff,Nylon PCB standoff M3,generic,M3x10 nylon hex F-F,4,8,https://www.digikey.com/en/products/filter/board-supports-spacers-standoffs,N/A,Pick in-stock M3 nylon hex F-F ~10 mm,buy,"Board floats per 6.30; no metal standoffs"
screw_pcb,M3 nylon screw,generic,M3x6 nylon pan,4,8,https://www.digikey.com/en/products/filter/screws-bolts,N/A,Match standoff thread,buy,
